Decay Factor,Noise Level,Sampling Algorithm,Rule,Trials to Learn,Overtrained
0.5,0.3,Thompson,go right 2,415,True
0.5,0.3,Thompson,go right 2,373,True
0.5,0.3,Thompson,go right 2,419,True
0.5,0.3,Thompson,go right 2,220,True
0.5,0.3,Thompson,go right 2,332,True
0.5,0.3,Thompson,go right 2,346,True
0.5,0.3,Thompson,go right 2,370,True
0.5,0.3,Thompson,go right 2,394,True
0.5,0.3,Thompson,go right 2,336,True
0.5,0.3,Thompson,go right 2,115,True
0.5,0.3,Thompson,go right 2,215,True
0.5,0.3,Thompson,go right 2,239,True
0.5,0.3,Thompson,go right 2,340,True
0.5,0.3,Thompson,go right 2,237,True
0.5,0.3,Thompson,go right 2,265,True
0.5,0.3,Thompson,go right 2,267,True
0.5,0.3,Thompson,go right 2,313,True
0.5,0.3,Thompson,go right 2,237,True
0.5,0.3,Thompson,go right 2,570,True
0.5,0.3,Thompson,go left 2,520,True
0.5,0.3,Thompson,go left 2,544,True
0.5,0.3,Thompson,go left 2,623,True
0.5,0.3,Thompson,go left 2,475,True
0.5,0.3,Thompson,go left 2,556,True
0.5,0.3,Thompson,go left 2,192,True
0.5,0.3,Thompson,go left 2,438,True
0.5,0.3,Thompson,go left 2,745,True
0.5,0.3,Thompson,go left 2,257,True
0.5,0.3,Thompson,go left 2,430,True
0.5,0.3,Thompson,go left 2,623,True
0.5,0.3,Thompson,go left 2,423,True
0.5,0.3,Thompson,go left 2,634,True
0.5,0.3,Thompson,go left 2,338,True
0.5,0.3,Thompson,go left 2,296,True
0.5,0.3,Thompson,go left 2,526,True
0.5,0.3,Thompson,go left 2,279,True
0.5,0.3,Thompson,go left 2,751,True
0.5,0.3,Thompson,go left 2,538,True
0.5,0.3,Thompson,go left 2,385,True
0.5,0.3,Thompson,go left 2,439,True
0.5,0.3,Thompson,go left 2,619,True
0.5,0.3,Thompson,go left 2,486,True
0.5,0.3,Thompson,go left 2,535,True
0.5,0.3,Thompson,go left 2,203,True
0.5,0.3,Thompson,go left 2,614,True
0.5,0.3,Thompson,go left 2,403,True
0.5,0.3,Thompson,go left 2,544,True
0.5,0.3,Thompson,go left 2,482,True
0.5,0.3,Thompson,go left 2,393,True
0.5,0.3,Thompson,go left 2,355,True
0.5,0.3,Thompson,go left 2,907,True
0.5,0.3,Thompson,go left 2,609,True
0.5,0.3,Thompson,go left 2,749,True
0.5,0.3,Thompson,go left 2,605,True
0.5,0.3,Thompson,go left 2,266,True
0.5,0.3,Thompson,go left 2,727,True
0.5,0.3,Thompson,go left 2,542,True
0.5,0.3,Thompson,go left 2,537,True
0.5,0.3,Thompson,go left 2,599,True
0.5,0.3,Thompson,go left 2,193,True
0.5,0.3,Thompson,go left 2,505,True
0.5,0.3,Thompson,go left 2,352,True
0.5,0.3,Thompson,go left 2,329,True
0.5,0.3,Thompson,go left 2,350,True
0.5,0.3,Thompson,go left 2,493,True
0.5,0.3,Thompson,go left 2,345,True
0.5,0.3,Thompson,go left 2,218,True
0.5,0.3,Thompson,go left 2,325,True
0.5,0.3,Thompson,go left 2,858,True
0.7,0.1,Thompson,go right 1,17,True
0.7,0.1,Thompson,go right 1,19,True
0.7,0.1,Thompson,go right 1,24,True
0.7,0.1,Thompson,go right 1,14,True
0.7,0.1,Thompson,go right 1,24,True
0.7,0.1,Thompson,go right 1,23,True
0.7,0.1,Thompson,go right 1,12,True
0.7,0.1,Thompson,go right 1,13,True
0.7,0.1,Thompson,go right 1,12,True
0.7,0.1,Thompson,go right 1,14,True
0.7,0.1,Thompson,go right 1,13,True
0.7,0.1,Thompson,go right 1,15,True
0.7,0.1,Thompson,go right 1,12,True
0.7,0.1,Thompson,go right 1,20,True
0.7,0.1,Thompson,go right 1,14,True
0.7,0.1,Thompson,go right 1,17,True
0.7,0.1,Thompson,go right 1,10,True
0.7,0.1,Thompson,go right 1,14,True
0.7,0.1,Thompson,go right 1,19,True
0.7,0.1,Thompson,go right 1,13,True
0.7,0.1,Thompson,go right 1,21,True
0.7,0.1,Thompson,go right 1,11,True
0.7,0.1,Thompson,go right 1,11,True
0.7,0.1,Thompson,go right 1,20,True
0.7,0.1,Thompson,go right 1,12,True
0.7,0.1,Thompson,go right 1,16,True
0.7,0.1,Thompson,go right 1,14,True
0.7,0.1,Thompson,go right 1,15,True
